epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,553.329,2.39309,3.1643,1.79828,2.07551,0.77668,0.79422,0.84576,0.49147,0.77906,0.77511,0.8282,0.43003,1.42658,1.54379,0.9054,1.08542,0.000665344,0.000665344,0.000665344
2,1129.82,1.3137,1.39199,0.87986,1.0951,0.85259,0.86238,0.92787,0.6137,0.85339,0.85401,0.92054,0.53302,1.13832,1.27501,0.72845,0.95744,0.00130564,0.00130564,0.00130564
3,1651.18,1.1123,1.19204,0.71198,0.99271,0.86757,0.87303,0.94142,0.65815,0.87013,0.85512,0.92704,0.54506,1.00642,1.15131,0.63732,0.90179,0.00191953,0.00191953,0.00191953
4,2170.25,1.02951,1.11494,0.64567,0.95414,0.8327,0.86881,0.92059,0.66183,0.82589,0.85601,0.90219,0.50681,0.92681,1.12834,0.67759,0.88066,0.0018812,0.0018812,0.0018812
5,2691.31,0.96595,1.05216,0.59945,0.92771,0.87272,0.88032,0.94607,0.69706,0.868,0.85882,0.92343,0.51964,0.88058,1.08394,0.59727,0.8627,0.0018416,0.0018416,0.0018416
6,3209.17,0.9219,1.00443,0.57475,0.91127,0.89566,0.89843,0.95935,0.70614,0.88931,0.87185,0.93402,0.53591,0.89471,1.04236,0.53295,0.84646,0.001802,0.001802,0.001802
7,3727.93,0.88653,0.97276,0.54433,0.89956,0.90788,0.90647,0.96726,0.71948,0.90046,0.87872,0.9412,0.5311,0.8456,1.00115,0.5081,0.83279,0.0017624,0.0017624,0.0017624
8,4247.35,0.86231,0.94439,0.52651,0.89144,0.91162,0.90654,0.96765,0.73326,0.90472,0.88344,0.94429,0.53854,0.80604,0.97307,0.50028,0.82363,0.0017228,0.0017228,0.0017228
9,4766.03,0.83949,0.92901,0.51157,0.88497,0.90675,0.90378,0.96657,0.73479,0.89671,0.88052,0.94146,0.53682,0.81076,0.99201,0.49463,0.8267,0.0016832,0.0016832,0.0016832
10,5286.12,0.83659,0.91724,0.51366,0.88001,0.91207,0.91098,0.97027,0.74107,0.9033,0.88823,0.94781,0.54577,0.81098,0.96123,0.52206,0.81831,0.0016436,0.0016436,0.0016436
11,5806.91,0.8353,0.9022,0.51856,0.87441,0.91151,0.91351,0.97195,0.74572,0.90419,0.88935,0.94909,0.54649,0.80278,0.95518,0.50055,0.81461,0.001604,0.001604,0.001604
12,6325.77,0.81673,0.88149,0.50941,0.86841,0.90288,0.90164,0.96491,0.74748,0.89516,0.87937,0.94155,0.54154,0.7689,0.93468,0.50146,0.81394,0.0015644,0.0015644,0.0015644
13,6846.08,0.80057,0.86122,0.49948,0.86562,0.91753,0.91752,0.9732,0.76144,0.90997,0.89711,0.95395,0.56569,0.75401,0.94417,0.48192,0.80875,0.0015248,0.0015248,0.0015248
14,7367.68,0.78956,0.84718,0.49346,0.86083,0.91452,0.91941,0.97203,0.76172,0.90784,0.89536,0.94989,0.55792,0.74858,0.90685,0.48912,0.80794,0.0014852,0.0014852,0.0014852
15,7888.3,0.77617,0.83227,0.49192,0.85858,0.91376,0.91008,0.96958,0.75895,0.90532,0.89045,0.94793,0.56174,0.74523,0.93378,0.47841,0.80914,0.0014456,0.0014456,0.0014456
16,8410.41,0.76119,0.8173,0.4733,0.85485,0.91574,0.91694,0.97275,0.7722,0.90627,0.89956,0.9527,0.56784,0.72472,0.90461,0.47086,0.80636,0.001406,0.001406,0.001406
17,8931.91,0.75486,0.81037,0.46931,0.8529,0.92667,0.92374,0.97667,0.76915,0.91844,0.90322,0.95673,0.56777,0.7447,0.9298,0.45877,0.80539,0.0013664,0.0013664,0.0013664
18,9450.6,0.74272,0.79435,0.46314,0.85145,0.9225,0.92336,0.97595,0.77649,0.91263,0.90288,0.95546,0.57372,0.71714,0.89096,0.45607,0.80188,0.0013268,0.0013268,0.0013268
19,9970.38,0.74008,0.78898,0.45951,0.84962,0.92462,0.92273,0.97628,0.77756,0.91551,0.90195,0.95592,0.57316,0.71404,0.8938,0.45273,0.79877,0.0012872,0.0012872,0.0012872
20,10488,0.72944,0.78205,0.45519,0.84776,0.91229,0.92055,0.97247,0.77953,0.90361,0.90193,0.9536,0.57149,0.69656,0.88056,0.45966,0.79767,0.0012476,0.0012476,0.0012476
21,11007.8,0.72303,0.77291,0.44679,0.84433,0.9174,0.92587,0.97527,0.77922,0.90939,0.90584,0.95509,0.57197,0.70845,0.88988,0.44312,0.79988,0.001208,0.001208,0.001208
22,11526.5,0.71933,0.7716,0.44657,0.84473,0.92308,0.92431,0.97595,0.78443,0.91333,0.90402,0.95556,0.56922,0.69832,0.88674,0.44586,0.79741,0.0011684,0.0011684,0.0011684
23,12045,0.71511,0.7656,0.44123,0.8441,0.92638,0.92695,0.97799,0.7857,0.9173,0.90819,0.95869,0.57638,0.6951,0.88028,0.4436,0.79634,0.0011288,0.0011288,0.0011288
24,12566.1,0.70803,0.75517,0.43651,0.84107,0.91323,0.92317,0.97284,0.78112,0.90279,0.90367,0.95135,0.56515,0.68951,0.86731,0.45746,0.79571,0.0010892,0.0010892,0.0010892
25,13085,0.70306,0.75261,0.43451,0.84218,0.91674,0.92431,0.97445,0.78267,0.90597,0.90241,0.9524,0.56376,0.69671,0.88681,0.45053,0.79614,0.0010496,0.0010496,0.0010496
26,13605.6,0.69811,0.74733,0.42982,0.83917,0.91965,0.92666,0.9764,0.78278,0.90766,0.90612,0.95517,0.56101,0.69499,0.87994,0.44223,0.79418,0.00101,0.00101,0.00101
27,14125.5,0.69545,0.74536,0.42694,0.83894,0.92914,0.92075,0.97789,0.79228,0.92257,0.90175,0.95901,0.57994,0.67281,0.85111,0.43244,0.79144,0.0009704,0.0009704,0.0009704
28,14644.7,0.68815,0.73314,0.4217,0.83615,0.90565,0.92254,0.9708,0.78332,0.89527,0.90191,0.94903,0.56435,0.68332,0.87443,0.45506,0.79374,0.0009308,0.0009308,0.0009308
29,15163.1,0.68564,0.73282,0.41879,0.83603,0.90561,0.9244,0.97116,0.78167,0.89345,0.9027,0.94863,0.56602,0.69031,0.88802,0.45098,0.79314,0.0008912,0.0008912,0.0008912
30,15682,0.68121,0.7305,0.41524,0.83576,0.90752,0.92297,0.97127,0.78613,0.89619,0.90311,0.95036,0.56835,0.68133,0.87787,0.44756,0.79307,0.0008516,0.0008516,0.0008516
31,16201.7,0.67837,0.72196,0.41308,0.8351,0.8944,0.91824,0.9661,0.78134,0.88503,0.89778,0.9456,0.56711,0.68181,0.87225,0.45573,0.79192,0.000812,0.000812,0.000812
32,16719.7,0.67595,0.72288,0.41532,0.83397,0.91986,0.92953,0.97653,0.78963,0.91029,0.91053,0.95715,0.57775,0.67249,0.87387,0.4346,0.78989,0.0007724,0.0007724,0.0007724
33,17240.8,0.67466,0.71783,0.40914,0.83323,0.91039,0.92494,0.97269,0.7909,0.89828,0.90762,0.9529,0.57685,0.67248,0.86781,0.43747,0.79164,0.0007328,0.0007328,0.0007328
34,17756.4,0.66704,0.71339,0.40793,0.83319,0.92057,0.9289,0.97663,0.79337,0.91021,0.90856,0.95645,0.57744,0.67189,0.86679,0.42567,0.78975,0.0006932,0.0006932,0.0006932
35,18275,0.66762,0.7152,0.405,0.83246,0.91064,0.92664,0.97322,0.78861,0.89743,0.90693,0.95181,0.57041,0.67602,0.88452,0.43752,0.79032,0.0006536,0.0006536,0.0006536
36,18791,0.66427,0.71024,0.40096,0.83155,0.92107,0.93085,0.97746,0.79699,0.91017,0.91198,0.95799,0.57986,0.66468,0.85722,0.42187,0.7888,0.000614,0.000614,0.000614
37,19308.7,0.66264,0.70789,0.3994,0.8308,0.91777,0.93103,0.97613,0.79598,0.90637,0.91201,0.9561,0.57861,0.6655,0.85974,0.42771,0.78944,0.0005744,0.0005744,0.0005744
38,19825.2,0.66019,0.70721,0.39928,0.83074,0.91672,0.92758,0.97519,0.7954,0.90513,0.90909,0.95552,0.57847,0.66171,0.85737,0.42562,0.78849,0.0005348,0.0005348,0.0005348
39,20343.2,0.65707,0.70469,0.39808,0.82912,0.91937,0.93113,0.97669,0.79792,0.9084,0.91082,0.95706,0.58381,0.65969,0.85251,0.42451,0.78798,0.0004952,0.0004952,0.0004952
40,20861,0.65501,0.69907,0.39459,0.82917,0.91392,0.92898,0.9745,0.79698,0.90198,0.9085,0.95425,0.57985,0.65496,0.8464,0.42357,0.78616,0.0004556,0.0004556,0.0004556
41,21333.2,0.68342,0.72934,0.41376,0.81169,0.92958,0.93915,0.98089,0.79663,0.9184,0.91942,0.96162,0.5846,0.66655,0.86774,0.40479,0.78649,0.000416,0.000416,0.000416
42,21803.4,0.67894,0.72053,0.40663,0.81134,0.93559,0.94154,0.98282,0.80593,0.92617,0.92306,0.96497,0.59455,0.65012,0.83982,0.39589,0.78458,0.0003764,0.0003764,0.0003764
43,22174.2,0.67584,0.71637,0.40369,0.81017,0.93551,0.94163,0.98275,0.80474,0.92604,0.92304,0.96539,0.59458,0.65312,0.85336,0.3978,0.78478,0.0003368,0.0003368,0.0003368
44,22295.4,0.67405,0.71519,0.40142,0.81043,0.93643,0.94255,0.9832,0.80773,0.9273,0.92399,0.96667,0.60107,0.64968,0.84076,0.39625,0.78397,0.0002972,0.0002972,0.0002972
45,22418.2,0.66979,0.71189,0.39923,0.80911,0.93527,0.94496,0.98349,0.81012,0.92702,0.92701,0.96793,0.60459,0.64277,0.83404,0.3913,0.78374,0.0002576,0.0002576,0.0002576
46,22541,0.66755,0.71065,0.39749,0.8097,0.9372,0.94264,0.98339,0.80852,0.92671,0.92569,0.96706,0.60042,0.64458,0.83785,0.39421,0.78311,0.000218,0.000218,0.000218
47,22662.1,0.66639,0.70452,0.39535,0.80879,0.93811,0.94299,0.98367,0.80779,0.92796,0.92611,0.96742,0.6004,0.64561,0.84187,0.39151,0.78326,0.0001784,0.0001784,0.0001784
